filename,Sale Price,TermRemaining,TracksIncluded,Fees,NumberOfBids,NumberOfBiddersForIDBefore2783,HighestBidLowestBid,HasLastTransaction,Income_Type_STREAMING MECHANICAL,Income_Type_STREAMINGP ERFORMANCE,Income_Type_STREAMINGS YNCHRONIZATION,Income_Type_MECHANICAL,Income_Type_PERFORMANCE,Income_Type_OTHER,Income_Type_SOUNDRECORDING,Income_Type_SYNCHRONIZATION,Income_Type_DOWNLOAD MECHANICAL,Income_Type_PRINT,Income_Type_DOWNLOAD PERFORMANCE,Income_Type_MECHANICAL PERFORMANCE,Income_Type_PROFIT PARTICIPATION,Income_Type_RADIO,Last12Months,EarningsSinceStart,3YearAverage,DollarAge,CopyrightsIncluded_Yes,Type_xroyaltyType_MusicalCompositionSoundRecording,Type_xroyaltyType_SoundRecording,Rights_Public_Performance,Rights_Sync,Distributor_universal,Distributor_bmi,Distributor_ascap,Distributor_sony,Distributor_warner,Source_cd_sales,Source tv_film,Source_ satellite_radio,Source_internet_streaming
1.json,11750.0,10 years*,,None,14,1,3750.0,1,,,,,,,,,,,,,,,2781.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
2.json,94500.0,Life of author + 70 years,,Minimal (See Note Below),40,1,55500.0,1,,,,,,,,,,,,,,,13938.0,,,,1,0,0,1,1,1,0,0,0,0,1,1,1,1
7.json,16800.0,10 years*,,$500 ‡,23,1,8800.0,1,,,,,,,,,,,,,,,3947.0,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
10.json,35000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.json,13750.0,10 years*,,$500 ‡,36,1,9750.0,1,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
15.json,30000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.json,5900.0,10 years*,,$500 ‡,22,1,3900.0,1,,,,,,,,,,,,,,,1375.0,,,,1,0,0,1,0,0,0,0,0,0,0,1,1,1
20.json,7700.0,10 years*,,$500 ‡,7,1,1200.0,1,,,,,,,,,,,,,,,1964.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
26.json,65100.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.json,250000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.json,14700.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.json,113000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.json,15800.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.json,85000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.json,156000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.json,20600.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.json,15000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.json,21600.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.json,25000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79.json,17000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.json,33500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.json,38500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.json,38500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.json,33500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.json,34788.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.json,22000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.json,40000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.json,10500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.json,23400.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.json,38400.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.json,161000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.json,94000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.json,50000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.json,153000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.json,76800.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.json,212000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.json,48000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.json,5044.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.json,4400.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.json,19500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.json,26000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176.json,27500.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.json,32250.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.json,90000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.json,34300.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187.json,138000.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191.json,12800.0,,,,0,1,0.0,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
